id,status,outer_qty,inner_qty,common_unit,item_name,pack_string,vendor,sku,parsed_pack,override_values
f4f215ef-5014-4487-9649-e60e6dcbc3a3,approved,1,5,lb,Red Onions,1/5 LB,produce_alliance,2004262,,
d80b092a-979f-4aa8-bc8c-359b93509c22,approved,1,1,ea,Mop Head Replacement,1/1 CT,pfg,344622,,
40af0150-ce74-49a7-b321-da1768f29ae7,approved,1,3,lb,Roasted Broccoli,1/3 LB,produce_alliance,3504,,
4626f690-d39d-40b3-bbfc-625d605c1f20,approved,6,2,lb,Romaine Lettuce (Bag),6/2 LB,produce_alliance,941,,
725ab5fa-b9dc-4901-8dfa-4e41086fdf89,approved,2,5,lb,Sliced Mushrooms,2/5 LB,produce_alliance,6289,,
f31b0568-b5e9-4add-9522-767c909af09e,approved,16,250,ea,Multifold Hand Towels (Tork),16/250 CT,pfg,437582,,
555a3980-6285-431e-95ed-87f6a7923616,approved,1,20,ea,Green Scrub Pads,1/20 CT,pfg,318914,,
ba1ae0db-339c-41be-adc5-a859fff807bd,approved,20,125,ea,2 oz Portion Lids,20/125 CT,pfg,533580,,
03dfddcb-12c8-4823-92d5-60a12f6e36b0,approved,6,104,oz,Pineapple Tidbits (PFG),6/#10 CN,pfg,267823,,
583b8d00-4258-40d6-be2f-5101a4dc94db,approved,1,5,ga,Coke BIB 5g,1/5GA,pfg,26383,,
066de004-810b-4631-8020-f3b815e43255,approved,24,20,oz,Powerade Mountain Blast Bottle 20oz,24/20OZ,pfg,909514,,
beb31a20-7354-4b32-b01f-ce27ee05fceb,approved,1,200,ea,Pink Cleaning Towels,1/200CT,pfg,66140,,
94cc8e74-1d04-42db-b480-95253148f9e7,approved,10,100,ea,Small Gloves,10/100 CT,pfg,563906,,
0de9ad9d-c783-4c86-8933-c357ef08083c,approved,12,1,ea,Broom Head Replacement,12/1 CT,pfg,341048,,
4cc68116-b63c-45c2-845f-741393fc3da6,approved,12,36,ea,Hershey's Bars,12/36 CT,pfg,969736,,
3af8f9db-4769-44a7-a9bc-9c9122095db3,approved,4,4.7,lb,New Pesto,4/4.7 LB,pfg,610835,,
0073b59c-0d2a-4c09-b7ac-a2dc2b092127,approved,4,1,gal,Butter Oil,4/1 GA,pfg,875041,,
3c99cb2f-2bbd-435d-94b5-a0b36c727a27,approved,48,,ea,Romaine Hearts,48 CT,produce_alliance,5513,,
daeea090-bf69-42fa-86c7-619e506af59c,approved,1,10,lb,Sliced Mushrooms,1/10 LB,produce_alliance,6000,,
c32d9c23-d161-4904-a687-484210f6b9c0,approved,1,18,oz,Cinnamon,1/18 OZ,pfg,242837,,
2b91062d-7fe2-4a9b-9c19-f6fd25d5679b,approved,1,25,lb,Dough Flour,1/25 LB,pfg,581637,,
ee1fff4d-fd42-4f7f-9f7f-b0afed545c23,approved,1,540,ea,Plastic Coke PROMO Cups,1/540 CT,pfg,1066573,,
46c1e95a-c3bb-43a0-8064-5ba54751a783,approved,20,125,ea,2 oz Portion Cups,20/125 CT,pfg,930043,,
d7c432ed-c336-4732-b34c-661efe3cbb99,approved,24,1,lb,Powdered Sugar Bulk,24/1 LB,pfg,26206,,
4275c1cb-c8e3-4be9-a7a8-30173a783009,approved,3,10,ea,Receipt Paper Roll,3/10 CT,pfg,7313,,
59dcdfe2-9e08-44ce-a463-a365616a3c91,approved,1,2.5,ga,Cherry Coke BIB 2.5g,1/2.5GA,pfg,960172,,
c94f995b-8975-4176-89e1-5e2ef203e918,approved,1,250,ea,Toilet Seat Covers,1/250 CT,pfg,252698,,
64303dd7-4669-40f7-8ef4-e1182c285b31,approved,1,100,ea,"14"" Blaze Pizza Boxes (Large)",1/100 CT,pfg,848507,,
9c1272fb-7b18-42fc-8db3-6eb69ae6f1d0,approved,24,,ea,Bud Light 16oz Cans,BUD LT 24/16CALNR2/12,heimark,10351,,
dac20b24-74ba-4917-aec0-d779bc2e7ee1,approved,24,1,ea,Coachella Valley Brewing CDMX Cans,CVB CDMX 6/4CN,heimark,41627,,
8f1e93d5-a691-49cc-9fa0-1340a52fc2b1,approved,24,12,oz,Estrella Jalisco 12oz,ESTRELLA 24/12NR LOOSE,heimark,13636,,
1aae2e6f-546d-4474-8031-f769a954f5c5,approved,1,30,ea,Budweiser 12oz Cans,BUD 30/12 CAN,heimark,10130,,
dcf6f8dd-70e1-4223-aef1-a70f092d9fd7,approved,2,12,ea,Firestone 805 Blonde Ale Cans,FIRESTN 805 2/12NR,heimark,70935,,
48c980f5-0810-46eb-9ff4-47e54e1e572a,approved,6,4,ea,Lagunitas Heatwave IPA Cans,LQ HEATWAV 6/4CN,heimark,41261,,
c6f00ae7-d686-45a2-af10-c6c30447a361,approved,6,4,ea,Lagunitas Poolside Blonde Cans,LQ POOLSD 6/4CN,heimark,41242,,
